cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis,n_consolidator,n_coordinator,n_truncated
18,26,14,2289450.0,100000005382566100;100000004403675100;100000005523088100,"Гипотеза: 2 узлов сбора/координации, 0 раздачи, 1 транзита; 14 seed, 2 на границе выгрузки. Внутренний оборот 2 289 450 KZT.",2,0,2
19,25,0,7556605.0,100000008743913100;100000001303311100;100000001887715100,"Гипотеза: 1 узлов сбора/координации, 2 раздачи, 1 транзита; 0 seed, 3 на границе выгрузки. Внутренний оборот 7 556 605 KZT.",1,0,3
20,20,0,617900.0,100000006308406100;100000003154105100;100000006257675100,"Гипотеза: 0 узлов сбора/координации, 0 раздачи, 1 транзита; 0 seed, 15 на границе выгрузки. Внутренний оборот 617 900 KZT.",0,0,15
21,18,0,3422800.0,100000003701161100;100000002267998100;100000003718221100,"Гипотеза: 1 узлов сбора/координации, 0 раздачи, 2 транзита; 0 seed, 2 на границе выгрузки. Внутренний оборот 3 422 800 KZT.",1,0,2
22,17,1,21586840.0,100000002224132100;100000004399686100;100000004603109100,"Гипотеза: 1 узлов сбора/координации, 0 раздачи, 0 транзита; 1 seed, 0 на границе выгрузки. Внутренний оборот 21 586 840 KZT.",1,0,0
23,17,1,2977887.0,100000004144536100;100000004007116100;100000002731501100,"Гипотеза: 1 узлов сбора/координации, 1 раздачи, 1 транзита; 1 seed, 1 на границе выгрузки. Внутренний оборот 2 977 887 KZT.",1,0,1
24,15,0,850450.0,100000005505655100;100000002472632100;100000001526235100,"Гипотеза: 0 узлов сбора/координации, 0 раздачи, 2 транзита; 0 seed, 6 на границе выгрузки. Внутренний оборот 850 450 KZT.",0,0,6
25,15,0,3626010.0,100000008461532100;100000006704530100;100000000791285100,"Гипотеза: 0 узлов сбора/координации, 0 раздачи, 3 транзита; 0 seed, 6 на границе выгрузки. Внутренний оборот 3 626 010 KZT.",0,0,6
26,15,0,3436955.0,100000004221668100;100000003111305100;100000005171642100,"Гипотеза: 2 узлов сбора/координации, 0 раздачи, 3 транзита; 0 seed, 3 на границе выгрузки. Внутренний оборот 3 436 955 KZT.",2,0,3
27,14,0,1605604.0,100000008213966100;100000000838385100;100000007382543100,"Гипотеза: 0 узлов сбора/координации, 0 раздачи, 1 транзита; 0 seed, 6 на границе выгрузки. Внутренний оборот 1 605 604 KZT.",0,0,6
28,13,1,1392916.0,100000003164661100;100000001380054100;100000006232815100,"Гипотеза: 0 узлов сбора/координации, 0 раздачи, 0 транзита; 1 seed, 0 на границе выгрузки. Внутренний оборот 1 392 916 KZT.",0,0,0
29,13,0,6748650.0,100000007442518100;100000008258083100;100000000673868100,"Гипотеза: 1 узлов сбора/координации, 0 раздачи, 1 транзита; 0 seed, 2 на границе выгрузки. Внутренний оборот 6 748 650 KZT.",0,1,2
30,11,0,3784703.0,100000003004487100;100000005042822100;100000000733940100,"Гипотеза: 1 узлов сбора/координации, 0 раздачи, 0 транзита; 0 seed, 3 на границе выгрузки. Внутренний оборот 3 784 703 KZT.",1,0,3
31,10,0,322010.0,100000008172352100;100000000993112100;100000007322059100,"Гипотеза: 0 узлов сбора/координации, 0 раздачи, 2 транзита; 0 seed, 1 на границе выгрузки. Внутренний оборот 322 010 KZT.",0,0,1
32,10,0,1727065.0,100000005767403100;100000004076740100;100000004336312100,"Гипотеза: 0 узлов сбора/координации, 0 раздачи, 3 транзита; 0 seed, 2 на границе выгрузки. Внутренний оборот 1 727 065 KZT.",0,0,2
33,9,0,1406982.0,100000002217161100;100000007647294100;100000001445848100,"Гипотеза: 0 узлов сбора/координации, 0 раздачи, 1 транзита; 0 seed, 1 на границе выгрузки. Внутренний оборот 1 406 982 KZT.",0,0,1
34,8,0,2473417.91,100000008175078100;100000004906181100;100000008675322100,"Гипотеза: 0 узлов сбора/координации, 0 раздачи, 0 транзита; 0 seed, 7 на границе выгрузки. Внутренний оборот 2 473 418 KZT.",0,0,7
35,8,0,389000.0,100000002214207100;100000000600707100;100000005507142100,"Гипотеза: 0 узлов сбора/координации, 0 раздачи, 0 транзита; 0 seed, 4 на границе выгрузки. Внутренний оборот 389 000 KZT.",0,0,4
36,7,0,143000.0,100000004508696100;100000002217806100;100000004549591100,"Гипотеза: 0 узлов сбора/координации, 0 раздачи, 1 транзита; 0 seed, 2 на границе выгрузки. Внутренний оборот 143 000 KZT.",0,0,2
37,7,0,3077000.0,100000001053894100;100000002594214100;100000002241986100,"Гипотеза: 0 узлов сбора/координации, 0 раздачи, 0 транзита; 0 seed, 6 на границе выгрузки. Внутренний оборот 3 077 000 KZT.",0,0,6
38,7,3,4442461.0,100000003404627100;100000008637537100;100000001732159100,"Гипотеза: 1 узлов сбора/координации, 0 раздачи, 0 транзита; 3 seed, 0 на границе выгрузки. Внутренний оборот 4 442 461 KZT.",1,0,0
39,7,0,1765600.0,100000007865484100;100000008551752100;100000003631015100,"Гипотеза: 0 узлов сбора/координации, 0 раздачи, 0 транзита; 0 seed, 6 на границе выгрузки. Внутренний оборот 1 765 600 KZT.",0,0,6
40,7,0,1268308.0,100000008011159100;100000006232642100;100000003664994100,"Гипотеза: 0 узлов сбора/координации, 0 раздачи, 0 транзита; 0 seed, 2 на границе выгрузки. Внутренний оборот 1 268 308 KZT.",0,0,2
41,6,1,1615030.0,100000008736940100;100000005456919100;100000008751429100,"Гипотеза: 0 узлов сбора/координации, 0 раздачи, 0 транзита; 1 seed, 0 на границе выгрузки. Внутренний оборот 1 615 030 KZT.",0,0,0
42,6,1,1527967.0,100000005183943100;100000007939160100;100000000580561100,"Гипотеза: 0 узлов сбора/координации, 0 раздачи, 0 транзита; 1 seed, 0 на границе выгрузки. Внутренний оборот 1 527 967 KZT.",0,0,0
43,6,0,2540000.0,100000004479404100;100000004717647100;100000002922000100,"Гипотеза: 0 узлов сбора/координации, 0 раздачи, 0 транзита; 0 seed, 4 на границе выгрузки. Внутренний оборот 2 540 000 KZT.",0,0,4
44,6,1,275885.0,100000005895525100;100000002462183100;100000005485830100,"Гипотеза: 0 узлов сбора/координации, 0 раздачи, 0 транзита; 1 seed, 0 на границе выгрузки. Внутренний оборот 275 885 KZT.",0,0,0
45,6,0,2534500.0,100000003747133100;100000005075949100;100000004722765100,"Гипотеза: 1 узлов сбора/координации, 0 раздачи, 0 транзита; 0 seed, 3 на границе выгрузки. Внутренний оборот 2 534 500 KZT.",1,0,3
46,6,0,720900.0,100000008761219100;100000006638021100;100000008333492100,"Гипотеза: 0 узлов сбора/координации, 0 раздачи, 1 транзита; 0 seed, 4 на границе выгрузки. Внутренний оборот 720 900 KZT.",0,0,4
47,6,1,383300.0,100000004331458100;100000004094958100;100000005546031100,"Гипотеза: 0 узлов сбора/координации, 0 раздачи, 2 транзита; 1 seed, 0 на границе выгрузки. Внутренний оборот 383 300 KZT.",0,0,0
48,5,0,4359000.0,100000002872399100;100000002958343100;100000000274067100,"Гипотеза: 0 узлов сбора/координации, 0 раздачи, 0 транзита; 0 seed, 0 на границе выгрузки. Внутренний оборот 4 359 000 KZT.",0,0,0
49,5,0,1189154.0,100000000291906100;100000004722630100;100000000291908100,"Гипотеза: 0 узлов сбора/координации, 0 раздачи, 1 транзита; 0 seed, 2 на границе выгрузки. Внутренний оборот 1 189 154 KZT.",0,0,2
50,5,0,172000.0,100000004659919100;100000002700161100;100000005031696100,"Гипотеза: 0 узлов сбора/координации, 0 раздачи, 0 транзита; 0 seed, 2 на границе выгрузки. Внутренний оборот 172 000 KZT.",0,0,2
51,5,1,2809200.0,100000004135268100;100000002738256100;100000007507343100,"Гипотеза: 0 узлов сбора/координации, 0 раздачи, 2 транзита; 1 seed, 0 на границе выгрузки. Внутренний оборот 2 809 200 KZT.",0,0,0
52,5,2,108007.0,100000006562026100;100000007347733100;100000006249740100,"Гипотеза: 0 узлов сбора/координации, 0 раздачи, 0 транзита; 2 seed, 0 на границе выгрузки. Внутренний оборот 108 007 KZT.",0,0,0
53,4,0,460000.0,100000006069103100;100000000201868100;100000003192220100,"Гипотеза: 0 узлов сбора/координации, 0 раздачи, 2 транзита; 0 seed, 0 на границе выгрузки. Внутренний оборот 460 000 KZT.",0,0,0
54,4,0,518000.0,100000003163886100;100000002205022100;100000000629812100,"Гипотеза: 0 узлов сбора/координации, 0 раздачи, 0 транзита; 0 seed, 0 на границе выгрузки. Внутренний оборот 518 000 KZT.",0,0,0
55,4,1,1404980.0,100000001872484100;100000008601794100;100000000785800100,"Гипотеза: 0 узлов сбора/координации, 0 раздачи, 1 транзита; 1 seed, 0 на границе выгрузки. Внутренний оборот 1 404 980 KZT.",0,0,0
56,4,0,1595700.0,100000001131403100;100000001052945100;100000004616845100,"Гипотеза: 0 узлов сбора/координации, 0 раздачи, 0 транзита; 0 seed, 3 на границе выгрузки. Внутренний оборот 1 595 700 KZT.",0,0,3
57,4,1,79050.0,100000004971871100;100000006888238100;100000001852140100,"Гипотеза: 0 узлов сбора/координации, 0 раздачи, 0 транзита; 1 seed, 0 на границе выгрузки. Внутренний оборот 79 050 KZT.",0,0,0
58,4,0,332709.0,100000004610802100;100000002516862100;100000002513028100,"Гипотеза: 0 узлов сбора/координации, 0 раздачи, 0 транзита; 0 seed, 3 на границе выгрузки. Внутренний оборот 332 709 KZT.",0,0,3
59,4,2,1499679.0,100000008418835100;100000008730021100;100000008701944100,"Гипотеза: 0 узлов сбора/координации, 0 раздачи, 0 транзита; 2 seed, 0 на границе выгрузки. Внутренний оборот 1 499 679 KZT.",0,0,0
60,3,1,450000.0,100000002371751100;100000000769919100;100000007018630100,"Гипотеза: 0 узлов сбора/координации, 0 раздачи, 1 транзита; 1 seed, 0 на границе выгрузки. Внутренний оборот 450 000 KZT.",0,0,0
61,3,0,553830.0,100000003692843100;100000003321895100;100000002371892100,"Гипотеза: 0 узлов сбора/координации, 0 раздачи, 0 транзита; 0 seed, 2 на границе выгрузки. Внутренний оборот 553 830 KZT.",0,0,2
62,3,1,390167.62,100000002781227100;100000008522127100;100000002796853100,"Гипотеза: 0 узлов сбора/координации, 0 раздачи, 1 транзита; 1 seed, 0 на границе выгрузки. Внутренний оборот 390 168 KZT.",0,0,0
63,3,0,1557988.0,100000004035925100;100000008619159100;100000008258458100,"Гипотеза: 0 узлов сбора/координации, 0 раздачи, 0 транзита; 0 seed, 2 на границе выгрузки. Внутренний оборот 1 557 988 KZT.",0,0,2
64,3,1,450816.0,100000005034574100;100000007283257100;100000004388983100,"Гипотеза: 0 узлов сбора/координации, 0 раздачи, 0 транзита; 1 seed, 0 на границе выгрузки. Внутренний оборот 450 816 KZT.",0,0,0
65,3,0,627870.0,100000004666651100;100000005664632100;100000008628231100,"Гипотеза: 0 узлов сбора/координации, 0 раздачи, 0 транзита; 0 seed, 0 на границе выгрузки. Внутренний оборот 627 870 KZT.",0,0,0
66,2,0,761255.0,100000004586598100;100000000583220100,"Гипотеза: 0 узлов сбора/координации, 0 раздачи, 0 транзита; 0 seed, 1 на границе выгрузки. Внутренний оборот 761 255 KZT.",0,0,1
67,2,1,30000.0,100000003980083100;100000003200071100,"Гипотеза: 0 узлов сбора/координации, 0 раздачи, 0 транзита; 1 seed, 0 на границе выгрузки. Внутренний оборот 30 000 KZT.",0,0,0
68,2,1,81465.0,100000003865939100;100000005392290100,"Гипотеза: 0 узлов сбора/координации, 0 раздачи, 0 транзита; 1 seed, 0 на границе выгрузки. Внутренний оборот 81 465 KZT.",0,0,0
69,2,0,584900.0,100000007330432100;100000008430691100,"Гипотеза: 0 узлов сбора/координации, 0 раздачи, 1 транзита; 0 seed, 1 на границе выгрузки. Внутренний оборот 584 900 KZT.",0,0,1
70,2,0,857500.0,100000008324800100;100000007390016100,"Гипотеза: 0 узлов сбора/координации, 0 раздачи, 2 транзита; 0 seed, 0 на границе выгрузки. Внутренний оборот 857 500 KZT.",0,0,0
